Year,Finals MVP,Age,Team,PTS,TRB,AST
2021,G. Antetokounmpo,26,Milwaukee Bucks,35.2,13.2,5
2020,L. James,35,Los Angeles Lakers,29.8,11.8,8.5
2019,K. Leonard,27,Toronto Raptors,28.5,9.8,4.2
2018,K. Durant,29,Golden State Warriors,28.8,10.8,7.5
2017,K. Durant,28,Golden State Warriors,35.2,8.2,5.4
2016,L. James,31,Cleveland Cavaliers,29.7,11.3,8.9
2015,A. Iguodala,31,Golden State Warriors,16.3,5.8,4
2014,K. Leonard,22,San Antonio Spurs,17.8,6.4,2
2013,L. James,28,Miami Heat,25.3,10.9,7
2012,L. James,27,Miami Heat,28.6,10.2,7.4
2011,D. Nowitzki,32,Dallas Mavericks,26,9.7,2
2010,K. Bryant,31,Los Angeles Lakers,28.6,8,3.9
2009,K. Bryant,30,Los Angeles Lakers,32.4,5.6,7.4
2008,P. Pierce,30,Boston Celtics,21.8,4.5,6.3
2007,T. Parker,24,San Antonio Spurs,24.5,5,3.3
2006,D. Wade,24,Miami Heat,34.7,7.8,3.8
2005,T. Duncan,28,San Antonio Spurs,20.6,14.1,2.1
2004,C. Billups,27,Detroit Pistons,21,3.2,5.2
2003,T. Duncan,26,San Antonio Spurs,24.2,17,5.3
2002,S. O'Neal,29,Los Angeles Lakers,36.3,12.3,3.8
2001,S. O'Neal,28,Los Angeles Lakers,33,15.8,4.8
2000,S. O'Neal,27,Los Angeles Lakers,38,16.7,2.3
1999,T. Duncan,22,San Antonio Spurs,27.4,14,2.4
1998,M. Jordan,34,Chicago Bulls,33.5,4,2.3
1997,M. Jordan,33,Chicago Bulls,32.3,7,6
1996,M. Jordan,32,Chicago Bulls,27.3,5.3,4.2
1995,H. Olajuwon,32,Houston Rockets,32.8,11.5,5.5
1994,H. Olajuwon,31,Houston Rockets,26.9,9.1,3.6
1993,M. Jordan,29,Chicago Bulls,41,8.5,6.3
1992,M. Jordan,28,Chicago Bulls,35.8,4.8,6.5
1991,M. Jordan,27,Chicago Bulls,31.2,6.6,11.4
1990,I. Thomas,28,Detroit Pistons,27.6,5.2,7
1989,J. Dumars,25,Detroit Pistons,27.3,1.8,6
1988,J. Worthy,26,Los Angeles Lakers,22,7.4,4.4
1987,M. Johnson,27,Los Angeles Lakers,26.2,8,13
1986,L. Bird,29,Boston Celtics,24,9.7,9.5
1985,K. Abdul-Jabbar,37,Los Angeles Lakers,25.7,9,5.2
1984,L. Bird,27,Boston Celtics,27.4,14,3.6
1983,M. Malone,27,Philadelphia 76ers,25.8,18,2
1982,M. Johnson,22,Los Angeles Lakers,16.2,10.8,8
1981,C. Maxwell,25,Boston Celtics,17.7,9.5,2.8
1980,M. Johnson,20,Los Angeles Lakers,21.5,11.2,8.7
